id,slug,agency_slug,position_title_1,position_title_2,position_title_3,staffer_id,start_date,end_date,agency_id,grade_level,linkedin_url,organization_name,organization_type,position_held,from_date,to_date,organization_slug
2198,william-j-briggs,small-business-administration,Senior Advisor,,,1830,2017-11-13,,32,"$131,767",,Property Casualty Insurers Association of America,Trade Association,"Director, Political Engagement",2013-09-03,2017-11-03,property-casualty-insurers-association-of-america
2,diane-l-cullo,agriculture,"Special Assistant, Office of the Assistant Secretary for Congressional Relations",,,293,2017-03-07,,1,"$131,767",https://www.linkedin.com/in/dianecullo/,"Wegmans Food Markets, Inc.",Corporation,Service Desk Team leader,2015-02-15,2016-08-16,wegmans-food-markets-inc
3,diane-l-cullo,agriculture,"Special Assistant, Office of the Assistant Secretary for Congressional Relations",,,293,2017-03-07,,1,"$131,767",https://www.linkedin.com/in/dianecullo/,DLC Communications,Self-employed Communication s Consulting Organization,Principal,2005-01-16,,dlc-communications
4,william-northey,agriculture,Under Secretary for Farm and Foreign Agricultural Services,,,974,,,1,,,State of Iowa,Government,Iowa Secretary of Agriculture,2007-01-16,,state-of-iowa
5,william-northey,agriculture,Under Secretary for Farm and Foreign Agricultural Services,,,974,,,1,,,WM Northey Farm,Sole Proprietorship,Sole Proprietor,1981-05-16,,wm-northey-farm
6,stephen-lee-censky,agriculture,Deputy Secretary,,,235,2017-10-03,,1,,,American Soybean Association,Non-Profit,CEO,1996-04-16,,american-soybean-association
7,gregory-alan-ibach,agriculture,Under Secretary for Marketing and Regulatory Programs,,,611,2017-10-26,,1,,,State of Nebraska,State Government,Director of Agriculture,2005-06-16,,state-of-nebraska
8,gregory-alan-ibach,agriculture,Under Secretary for Marketing and Regulatory Programs,,,611,2017-10-26,,1,,,National Association of State Departments of Agriculture (NASDA),Non-Profit,President,2015-09-16,2016-09-16,national-association-of-state-departments-of-agriculture-nasda
10,gregory-alan-ibach,agriculture,Under Secretary for Marketing and Regulatory Programs,,,611,2017-10-26,,1,,,Family Trust,Trust,Trustee,2000-03-16,,family-trust_hide
11,gregory-alan-ibach,agriculture,Under Secretary for Marketing and Regulatory Programs,,,611,2017-10-26,,1,,,GTI INC.,Corporation,President,2001-01-16,,gti-inc
12,robert-l-bobby-peede,white-house-office,Deputy Assistant to the President and Director of Presidential Advance,,,1028,2017-09-09,,14,,,"United States Audio Visual, LLC",LLC,Managing Director,2013-01-16,2017-01-16,united-states-audio-visual-llc
13,robert-l-bobby-peede,white-house-office,Deputy Assistant to the President and Director of Presidential Advance,,,1028,2017-09-09,,14,,,"Event Strategies, Inc.",Corporation,Sr. Vice President,2000-01-16,2014-01-16,event-strategies-inc
14,robert-l-bobby-peede,white-house-office,Deputy Assistant to the President and Director of Presidential Advance,,,1028,2017-09-09,,14,,,"Trump for America, Inc.",Corporation,Director of Advance for Vice President - Elect,2016-11-15,2017-01-16,trump-for-america-inc
