id,filename,line_number,organization_name,city_state,organization_type,position_held,from_date,to_date,staffer_id,organization_id,organization_slug,pfd_endnote
"3650","680","15","K Maryland Associates, LLC","Florham Park, New Jersey","Limited Liability Company","Managing Member","2012-07-16","2017-01-16","693","7253","k-maryland-associates-llc",""
"2","10","2","Wegmans Food Markets, Inc.","Alexandria, Virginia","Corporation","Service Desk Team leader","2015-02-15","2016-08-16","10","2","wegmans-food-markets-inc",""
"3","10","3","DLC Communications","Washington, District of Columbia","Self-employed Communication s Consulting Organization","Principal","2005-01-16","","10","5107","dlc-communications","DLC Communications is currently dormant. Employee will not take on any additional clients during federal appointment."
"4","1003","1","State of Iowa","Des Moines, Iowa","Government","Iowa Secretary of Agriculture","2007-01-16","","1019","6","state-of-iowa",""
"5","1003","2","WM Northey Farm","Spirit Lake, Iowa","Sole Proprietorship","Sole Proprietor","1981-05-16","","1019","5108","wm-northey-farm",""
"6","1004","1","American Soybean Association","St. Louis, Missouri","Non-Profit","CEO","1996-04-16","","1020","7","american-soybean-association",""
"7","1005","1","State of Nebraska","Lincoln, Nebraska","State Government","Director of Agriculture","2005-06-16","","1021","8","state-of-nebraska",""
"8","1005","2","National Association of State Departments of Agriculture (NASDA)","Arlington, Virginia","Non-Profit","President","2015-09-16","2016-09-16","1021","5109","national-association-of-state-departments-of-agriculture-nasda",""
"10","1005","4","Family Trust","Lexington, Nebraska","Trust","Trustee","2000-03-16","","1021","5110","family-trust_hide","I do not receive any compensation for my services as Trustee of this family trust."
"11","1005","5","GTI INC.","Dawson County and Thomas County, Nebraska","Corporation","President","2001-01-16","","1021","9","gti-inc",""
"12","1014","1","United States Audio Visual, LLC","Park City, Utah","LLC","Managing Director","2013-01-16","2017-01-16","1030","10","united-states-audio-visual-llc",""
"13","1014","2","Event Strategies, Inc.","Alexandria, Virginia","Corporation","Sr. Vice President","2000-01-16","2014-01-16","1030","11","event-strategies-inc",""
"14","1014","3","Trump for America, Inc.","Washington, District of Columbia","Corporation","Director of Advance for Vice President - Elect","2016-11-15","2017-01-16","1030","12","trump-for-america-inc",""
"15","1016","1","Lockheed Martin","Fort Worth, Texas","Corporation","Vice President Sustainment Line of Business","2011-08-16","","1032","13","lockheed-martin",""
"16","1017","1","National Association of Attorneys General","Washington, District of Columbia","Non-Profit","Executive Director","2008-03-16","","1033","14","national-association-of-attorneys-general",""
"17","1019","1","North Carolina Military Affairs Commission (unpaid)","Raleigh, North Carolina","State Commission","Committee Chair","2015-07-16","2017-02-15","1035","5111","north-carolina-military-affairs-commission-unpaid",""
"18","1020","1","Saeculum Capital Management LLC","Washington, District of Columbia","Commodity Pool Operator, CFTC/NFA","Founder, Managing Member, Associated Person","2013-10-16","2016-12-16","1036","15","saeculum-capital-management-llc",""
