id,agency_name,name,position_title_1,position_title_2,position_title_3,grade_level,start_date,end_date,financial_disclosure_url,ethics_waiver_url,image_url,reason_for_missing_report,agency_id,slug,has_lobbyists,taskforce_member,taskforce_title,taskforce_agency,agency_slug,senate_lobbying_confirmation,last_year_lobbied,senate_lobbying_url,linkedin_url,outside_bio,bio_source,bio_url,sge,last_name,awaiting_senate_confirmation,nomination_appointment_failed,government_transfer,propublica_bio,resume_document_url
"2","Energy","Auria McAlicher","Advance Lead","","","$131,767","2017-11-09","","https://www.documentcloud.org/documents/4345144-McAlicher-Auria.html","","","","69","auria-mcalicher","","","","","energy","","","","https://www.linkedin.com/in/auria-mcalicher-b629abb/","","","","","McAlicher","","","","","https://www.documentcloud.org/documents/4824445-Auria-McAlicher-Resume.html"
"3","Agriculture","Austin Rex Harris","Staff Assistant","Staff Assistant, Food, Nutrition and Consumer Services","","$42,823","2017-01-20","2017-03-04","https://www.documentcloud.org/documents/4345138-Harris-Austin.html","","","","5","austin-rex-harris","","","","","agriculture","","","","","Harris grew up on a family farm southwest of Moulton [Iowa]. He recently [2014] graduated second in his class at Moulton-Udell High School and is a current student at Indian Hills Community College in Ottumwa. Harris previously worked on the Larry Sheets for Iowa House campaign in 2012 and as a field director on the Miller-Meeks for Congress campaign in 2014.","Daily Iowegian","http://www.dailyiowegian.com/news/local_news/harris-of-moulton-joins-republican-party-staff/article_d1507dd3-44e9-5863-9393-94b50875a24c.html","","Harris","","","","","https://www.documentcloud.org/documents/4824384-Austin-Rex-Harris-Resume.html"
"8","Agriculture","Campbell Eileen Shuford","Confidential Assistant","Confidential Assistant for Special Projects","","$66,510","2017-01-20","","https://www.documentcloud.org/documents/4345155-Shuford-Campbell.html","","","","5","campbell-eileen-shuford","","","","","agriculture","","","","https://www.linkedin.com/in/campbellshuford/","","","","","Shuford","","","","","https://www.documentcloud.org/documents/4824426-Campbell-Eileen-Shuford-Resume.html"
"7","Agriculture","Cameron P. Quinn","Special Assistant","Special Assistant, Office of Civil Rights","","$112,912","2017-01-30","2017-09-16","https://www.documentcloud.org/documents/4345151-Quinn-Cameron.html","","","","5","cameron-p-quinn","","","","","agriculture","","","","https://www.linkedin.com/in/cameron-quinn-15330a5/","Civil Rights experience at USDA & US DOJ. Employment law experience at US MPSB and as Assistant Attorney General in Virginia. Served on VA state advisory committee for the US Civil Rights Commission. Well over a decade in elections administration/election law, including 4 years as Virginia's chief elections official; @ 2 years as Sr. Counsel for Voting Matters, US DOJ; @ 4 years as an elections consultant, including 3 years as US Elections Advisor for IFES (formerly the Int'l Fdn. for Election Systems); Adjunct Faculty, George Mason University School of Law, teaching seminars on US elections topics. Extensive experience using technology to improve voter services. Extensive experience bringing and defending elections litigation; extensive experience with all federal elections laws, including HAVA, UOCAVA, NVRA & VRA. Specialties: change management, civil rights/EEO/employment law, election law & election administration, international elections observation","LinkedIn","https://www.linkedin.com/in/cameron-quinn-15330a5/","","Quinn","","","","","https://www.documentcloud.org/documents/4824400-Cameron-P-Quinn-Resume.html"
"1214","Treasury","David J. Ryder","Director, U.S. Mint","","","","","","https://www.documentcloud.org/documents/4388308-David-J-Ryder-Financial-Disclosure.html","","","","64","david-j-ryder","","","","","treasury","","","","","","","","","Ryder","true","","","",""
"24","Agriculture","Rebeckah Adcock","Senior Advisor, Office of the Secretary","","","$170,000","2017-04-24","","https://www.documentcloud.org/documents/4345131-Adcock-Rebeckah.html","","","","5","rebeckah-adcock","true","true","","","agriculture","","","","https://www.linkedin.com/in/rebafree/","","","","","Adcock","","","","Rebeckah Adcock was a senior director of government affairs at CropLife America, the trade association for pesticide manufacturers, where she lobbied USDA. Before that, she was director of congressional relations for the American Farm Bureau Federation, a trade group for farmers, where her portfolio included “USDA conservation programs.”","https://www.documentcloud.org/documents/4824481-Rebeckah-Adcock-Resume.html"
"6","Agriculture","Brenton Coy McNeely","White House Liaison","","","$79,720","2017-02-02","2018-03-03","https://www.documentcloud.org/documents/4345145-McNeely-Brenton.html","","","","5","brenton-coy-mcneely","","","","","agriculture","","","","","","","","","McNeely","","","","","https://www.documentcloud.org/documents/4824405-Brenton-Coy-McNeely-Resume.html"
"1539","Environmental Protection Agency","Alexandra Dunn","Regional Administrator","","","$179,700","2017-12-01","","","","","","63","alexandra-dunn","","","","","environmental-protection-agency","","","","","","","","","Dunn","","","","",""
"10","Agriculture","Diane L. Cullo","Special Assistant, Office of the Assistant Secretary for Congressional Relations","","","$131,767","2017-03-07","","https://www.documentcloud.org/documents/4345136-Cullo-Diane.html","","","","5","diane-l-cullo","","","","","agriculture","","","","https://www.linkedin.com/in/dianecullo/","Communications professional with an outstanding record of achievement in private industry and agency environments, growth-oriented non-profit organizations and complex Federal government entities affecting change while remaining flexible to shift with the political climate. Expert in devising and executing strategies, campaigns, programs and events that build company image and drive growth. Possess a mastery of traditional communications vehicles while incorporating interactive and digital tools to enhance an organization’s presence and exceed goals.","LinkedIn","https://www.linkedin.com/in/dianecullo/","","Cullo","","","","","https://www.documentcloud.org/documents/4824369-Diane-L-Cullo-Resume.html"
"25","Agriculture","Robert Aloysius Placek","Advance Lead","","","$66,510","2017-04-05","","https://www.documentcloud.org/documents/4345150-Placek-Robert.html","","","","5","robert-aloysius-placek","","","","","agriculture","","","","https://www.linkedin.com/in/robplacek/","","","","","Placek","","","","","https://www.documentcloud.org/documents/4824419-Robert-Aloysius-Placek-Resume.html"
"14","Agriculture","Jordan Bonfitto","Staff Assistant","Special Assistant","","$44,941","2017-06-27","","https://www.documentcloud.org/documents/4345134-Bonfitto-Jordan.html","","","","5","jordan-bonfitto","","","","","agriculture","","","","https://www.linkedin.com/in/jordan-bonfitto-a19708ba/","","","","","Bonfitto","","","","","https://www.documentcloud.org/documents/4824346-Jordan-Bonfitto-Resume.html"
"13","Agriculture","James \"Jim\" L. Renne","Special Assistant","Market and Regulations","","$161,900","2017-01-30","","https://www.documentcloud.org/documents/4345152-Renne-James.html","","","","5","james-jim-l-renne","","","","","agriculture","","","","","","","","","Renne","","","","","https://www.documentcloud.org/documents/4824395-James-Jim-L-Renne-Resume.html"
"12","Agriculture","Donald Lawrence Gutman","Senior Advisor to the Chief Financial Officer","","","$126,148-$189,600","2017-01-20","","https://www.documentcloud.org/documents/4345137-Gutman-Donald.html","","","","5","donald-lawrence-gutman","","","","","agriculture","","","","https://www.linkedin.com/in/donald-gutman-35b0a110/","Partner - Aronson LLC, 2010 - 2014 - Retired Served as Partner and Director of Quality Control for Aronson LLC which is listed as one of INSIDE Public Accounting's top 100 national accounting firms. Responsible for all aspects of the firm's quality and compliance functions for the Audit Department. Assure delivery of quality professional services and compliance with all external regulatory requirements, including AICPA, PCAOB, DOL, and SEC. Areas of expertise include: government contracting, construction, real estate, high technology, not-for-profit and employee benefit plans. Partner - Ernst & Young LLP, 1979 - 2007 - Retired. Thirty years' experience in public accounting with increasing management and technical responsibility. Performed as the lead coordinating audit partner for a varied list of public and private clients with a primary focus on REITs, construction, real estate, hospitality, homebuilding, governmental institutions and service firms.","LinkedIn","https://www.linkedin.com/in/donald-gutman-35b0a110/","","Gutman","","","","","https://www.documentcloud.org/documents/4824344-Donald-Lawrence-Gutman-Resume.html"
"19","Agriculture","Lauren Elizabeth Sullivan","Confidential Assistant","Scheduler","Director of Scheduling","$79,720","2017-03-13","","https://www.documentcloud.org/documents/4345157-Sullivan-Lauren.html","","","","5","lauren-elizabeth-sullivan","","","","","agriculture","","","","","A native and proud Marylander, Lauren most recently worked in the Sergeant-at-Arms office in the United States Senate","Department of Agriculture via Hagstrom Report","http://www.hagstromreport.com/assets/2017/2017_0510_USDA-StaffMemo.pdf","","Sullivan","","","","","https://www.documentcloud.org/documents/4824433-Lauren-Elizabeth-Sullivan-Resume.html"
"21","Agriculture","Peter Owen Bachmann","Policy Advisor","Advisor, Office of Congressional Relations","","$101,116","2017-04-24","","https://www.documentcloud.org/documents/4345132-Bachmann-Peter.html","","","","5","peter-owen-bachmann","","","","","agriculture","","","","https://www.linkedin.com/in/peter-bachmann-99254b59/","Peter comes to USA Rice from the National Association of Conservation Districts in Washington, DC. He has had a variety of internships at ag-related businesses and grew up in Fallston, Maryland and showed livestock as a member of 4-H. He attended Iowa State University where he studied Animal Science for two semesters before transferring to Virginia Tech where he obtained his B.S. in Dairy Science with a Concentration of Dairy Enterprise Management.","USA Rice Federation","https://web.archive.org/web/20180116170330/http://archive.constantcontact.com/fs138/1102736301303/archive/1121027479572.html","","Bachmann","","","","","https://www.documentcloud.org/documents/4824474-Peter-Owen-Bachmann-Resume.html"
"20","Agriculture","Nicholas \"Nick\" Matteo Westcott","Confidential Assistant","Staff Assistant, Natural Resources and Environment","","$54,972","2017-01-30","","https://www.documentcloud.org/documents/4345160-Westcott-Nicholas.html","","","","5","nicholas-nick-matteo-westcott","","","","","agriculture","","","","","","","","","Westcott","","","","","https://www.documentcloud.org/documents/4824402-Nicholas-Nick-Matteo-Westcott-Resume.html"
"22","Agriculture","Rachel Helen Pick","Confidential Assistant","Confidential Assistant, Office of the Secretary","","$79,720","2017-04-03","","https://www.documentcloud.org/documents/4345149-Pick-Rachel.html","","","","5","rachel-helen-pick","","","","","agriculture","","","","https://www.linkedin.com/in/rachel-pick-00b32625/","A self-described “farm girl from Iowa,” serves as the Special Assistant to the Secretary. Her professional background includes extensive executive and administrative assistant experience in the office of U.S. Senator Chuck Grassley and in the Senate Sergeant-at-Arms office.","Department of Agriculture via Hagstrom Report","http://www.hagstromreport.com/assets/2017/2017_0510_USDA-StaffMemo.pdf","","Pick","","","","","https://www.documentcloud.org/documents/4824417-Rachel-Helen-Pick-Resume.html"
"70","Environmental Protection Agency","Christian Rodrick","Special Assistant to the Deputy Associate Administrator for Congressional and Intergovernmental Relations","","","$62,303","2017-07-09","","https://www.documentcloud.org/documents/4387757-Christian-Rodrick-Financial-Disclosure.html","","","","63","christian-rodrick","true","","","","environmental-protection-agency","","","","https://www.linkedin.com/in/christian-rodrick-b7908360/","","","","","Rodrick","","","","",""
"2266","Justice","Gerald Brinton Lucas","Counsel","","","$126,958","2017-08-06","","","","","","29","gerald-brinton-lucas","","","","","justice","","","","","","","","","Lucas","","","","",""
"23","Agriculture","Raymond Albert Starling","Senior Advisor, Office of the Secretary","","","$179,700","2017-02-23","","https://www.documentcloud.org/documents/4345156-Starling-Raymond.html","","","","5","raymond-albert-starling","","","","","agriculture","","","","https://www.linkedin.com/in/ray-starling-4a072210/","Ray Starling, the 1996-1997 National FFA Eastern Region Vice President, recently received a new position within the White House, focusing on agriculture policy. Starling was previously Chief of Staff for U.S. Senator Thom Tillis and is a former member of the Midway FFA Chapter in North Carolina.","Agriculture.com","https://web.archive.org/web/20180117202558/https://www.agriculture.com/news/business/qa-ray-starling-special-assistant-to-the-president","","Starling","","","","","https://www.documentcloud.org/documents/4824432-Raymond-Albert-Starling-Resume.html"
"35","Agriculture","R. Layne Bangerter","State Director - Idaho, Rural Housing Service","","","$155,073","","","https://www.documentcloud.org/documents/3766084-Bangerter-Layne.html","","","","5","r-layne-bangerter-agriculture","","","","","agriculture","","","","","Layne Bangerter comes to the United State Department of Agriculture (USDA) Rural Development (RD) with 33 years of federal service, most recently from the U.S. Environmental Protection Agency (EPA). At the EPA Bangerter served as the Deputy Associate Administrator for Intergovernmental Relations, where he facilitated interactions with state and local governments, and coordinated those activities with 10 EPA regional offices around the nation. He also previously served as State Director for Agriculture, Natural Resources, and Environment for U.S. Senator Mike Crapo of Idaho from 2003 to 2017. In this capacity, he represented Senator Crapo on various issues involving federal agency oversight and legislation. Additionally, he worked various roles for the Fish and Wildlife Service, and the USDA from July 1985 to April 2003 as a Wildlife Biologist. Layne was the Donald J. Trump Campaign Director for the State of Idaho. He was a valuable member of the Trump campaign team throughout the West, orchestrating efforts and traveling with Vice Presidential Nominee, Mike Pence. He was also a Donald J. Trump Delegate to the Republican National Convention. Following the election, he served on the Trump/Pence Transition Team from November 2016 to January 2017. Layne initially was sworn into the Administration on January 21, 2017 as a member of the President-Elect’s Transition “Beachhead Team” for EPA. He led this team at the EPA for the Office of Congressional and Intergovernmental Relations and the Office of Water. Layne was born to American parents in Sao Paulo, Brazil. He grew up in Alpine, Utah and attended college at Brigham Young University in Provo, Utah where he received his Bachelor’s Degree in Wildlife and Range Resource Management. He has had a passion for hard work from a young age. He has worked in home construction, farming, ranching, and agribusiness. His love of family, natural resources, sports, agriculture and private property rights are what drives him. Layne and his wife, Betsy, have been married for 34 years; they have eight children, and 10 grandchildren. He is the owner of a Farm, Ranch, and Land Company in Melba, Idaho. The Bangerter family focus their lives on service to their church and country. Layne is fluent in Portuguese and Spanish. He is an avid outdoorsman and conservationist. His interests include camping, hunting, fishing and horses. As State Director, Layne will use his leadership experience to oversee RD programs in a customer-focused manner to restore prosperity in rural Idaho.","Department of Agriculture","https://www.rd.usda.gov/about-rd/leadership/state-directors/layne-r-bangerter","","Bangerter","","","","",""
"27","Agriculture","Tim Anthony Page","Confidential Assistant","Confidential Assistant, Rural Development","","$66,510","2017-01-22","2017-10-30","https://www.documentcloud.org/documents/4345148-Page-Tim.html","","","","5","tim-anthony-page","","","","","agriculture","","","","https://www.linkedin.com/in/tim-page-247289b0/","","","","","Page","","","","","https://www.documentcloud.org/documents/4824484-Tim-Anthony-Page-Resume.html"
"29","Agriculture","William Seth Russell","Confidential Assistant","Confidential Assistant, Congressional Affairs","","$73,846","2017-01-25","","https://www.documentcloud.org/documents/4345154-Russell-William.html","","","","5","william-seth-russell","","","","","agriculture","","","","https://www.linkedin.com/in/william-russell-15526687/","Experienced consultant with a demonstrated history of working in the political arena. Skilled in Nonprofit Organizations, Management, Marketing, and Politics. Strong strategic operations professional with a Bachelor of Business Administration focused in Marketing from Mississippi State University.","LinkedIn","https://www.linkedin.com/in/william-russell-15526687/","","Russell","","","","",""
